UNI_TR_D,COD_ID,DIST,PAC_1,PAC_2,PAC_3,FAS_CON_P,FAS_CON_S,FAS_CON_T,SIT_ATIV,TIP_UNID,POS,ATRB_PER,TEN_LIN_SE,CAP_ELO,CAP_CHA,TAP,CONF,POSTO,POT_NOM,PER_FER,PER_TOT,DAT_CON,CTMT,UNI_TR_S,SUB,CONJ,MUN,BANC,TIP_TRAFO,MRT,DESCR,ARE_LOC,geometry,lat,lon,FIC,DIC,ENE_01,ENE_02,ENE_03,ENE_04,ENE_05,ENE_06,ENE_07,ENE_08,ENE_09,ENE_10,ENE_11,ENE_12
26879192,26879192,6612,75475200753159000ET,75475200753159000BT,,ABC,ABC,0,AT,38,PD,1,0.38,2H,12,1.05,RA,PT,45.0,0.47100000000000003,945.0,01/01/1920,27117500,27707861,27335510,15615,3303401,0,T,0,,UB,POINT (-42.52723996065561 -22.30261581336907),-22.302615813369073,-42.527239960655606,1.0,1.18,130.6315789473684,130.3684210526316,164.94736842105263,142.8421052631579,150.52631578947367,168.10526315789474,152.10526315789474,198.73684210526315,176.52631578947367,177.6315789473684,178.05263157894737,147.78947368421052
26880293,26880293,6612,75333100753159000ET,75333100753159000BT,,ABC,ABC,0,AT,38,PD,1,0.38,5H,12,1.05,RA,PT,112.5,0.377,1.8900000000000001,01/01/1920,27117512,27708102,27335511,16070,3303401,0,T,0,,UB,POINT (-42.54102319426494 -22.30282542375426),-22.302825423754257,-42.54102319426494,0.0,0.0,255.05747126436782,262.3448275862069,274.5402298850575,269.32183908045977,237.5977011494253,263.0574712643678,234.816091954023,255.24137931034483,273.91954022988506,274.2298850574713,276.8390804597701,260.0574712643678
26880295,26880295,6612,75333800753149800ET,75333800753149800BT,,ABC,ABC,0,AT,38,PD,1,0.38,3H,12,1.05,RA,PT,75.0,0.428,1.395,01/01/1920,27117512,27708102,27335511,16070,3303401,0,T,0,,UB,POINT (-42.54094075161436 -22.30365477404854),-22.30365477404854,-42.54094075161436,0.0,0.0,168.84313725490196,188.64705882352942,196.68627450980392,188.37254901960785,171.72549019607843,185.37254901960785,169.45098039215685,179.37254901960785,177.88235294117646,164.68627450980392,166.72549019607843,171.50980392156862
26880297,26880297,6612,75332600753159300ET,75332600753159300BT,,ABC,ABCN,0,AT,38,PD,1,0.38,5H,12,1.05,RA,PT,112.5,0.377,1.8900000000000001,01/01/1920,27117512,27708102,27335511,16070,3303401,0,T,0,,UB,POINT (-42.54107216684696 -22.30279908171218),-22.30279908171218,-42.54107216684696,0.0,0.0,1186.0,1038.0,1165.0,1011.0,1127.0,1658.0,1123.0,989.0,1136.0,699.0,665.0,340.0
26880298,26880298,6612,75336800753113000ET,75336800753113000BT,,ABC,ABC,0,AT,38,PD,1,0.38,3H,12,1.05,RA,PT,75.0,0.428,1.395,01/01/1920,27117512,27708102,27335511,16070,3303401,0,T,0,,UB,POINT (-42.54059156824621 -22.30697188024806),-22.306971880248057,-42.540591568246214,0.0,0.0,229.70731707317074,234.03658536585365,253.390243902439,227.7439024390244,205.1341463414634,225.6829268292683,203.1829268292683,253.5,258.1951219512195,244.9390243902439,300.5121951219512,300.3292682926829
26880299,26880299,6612,75345000753126800ET,75345000753126800BT,,ABC,AB,0,AT,38,PD,1,0.38,5H,12,1.05,RA,PT,112.5,0.377,1.8900000000000001,01/01/1920,27117512,27708102,27335511,16070,3303401,0,T,0,,UB,POINT (-42.53981799660323 -22.30571424311779),-22.30571424311779,-42.53981799660323,0.0,0.0,124.83536585365853,131.2012195121951,139.890243902439,144.98170731707316,133.9451219512195,153.28048780487805,139.9878048780488,147.0731707317073,148.0487804878049,138.40243902439025,148.1341463414634,135.9390243902439
26880300,26880300,6612,75344100753145200ET,75344100753145200BT,,ABC,ABC,0,AT,38,PD,1,0.38,3H,12,1.05,RA,PT,75.0,0.428,1.395,01/01/1920,27117512,27708102,27335511,16070,3303401,0,T,0,,UB,POINT (-42.53993439855361 -22.30405480868245),-22.30405480868245,-42.53993439855361,0.0,0.0,300.609756097561,311.3658536585366,328.3414634146341,336.1951219512195,294.7317073170732,347.6585365853659,318.5365853658537,339.3414634146341,332.2926829268293,322.390243902439,330.2439024390244,309.9268292682927
26880301,26880301,6612,75355500753135200ET,75355500753135200BT,,ABC,ABC,0,AT,38,PD,1,0.38,8K,12,1.05,RA,PT,150.0,0.35100000000000003,2.335,01/01/1920,27117512,27708102,27335511,16070,3303401,0,T,0,,UB,POINT (-42.53881279827198 -22.30494061301886),-22.304940613018857,-42.53881279827198,0.0,0.0,256.1090909090909,266.3090909090909,276.3363636363636,266.9,240.62727272727273,283.56363636363636,242.54545454545453,256.1818181818182,268.23636363636365,261.6909090909091,271.3727272727273,251.71818181818182
26880304,26880304,6612,75363800753131700ET,75363800753131700BT,,ABC,ABC,0,AT,38,PD,1,0.38,5H,12,1.05,RA,PT,112.5,0.377,1.8900000000000001,01/01/1920,27117512,27708102,27335511,16070,3303401,0,T,0,,UB,POINT (-42.53800217006403 -22.305244295188),-22.305244295188004,-42.53800217006403,0.0,0.0,144.3394495412844,154.0275229357798,166.6697247706422,144.72477064220183,136.74311926605503,160.13761467889907,142.3394495412844,156.7981651376147,148.045871559633,153.10091743119267,157.0275229357798,147.47706422018348
26880305,26880305,6612,75362100753143900ET,75362100753143900BT,,ABC,ABC,0,AT,38,PD,1,0.38,5H,12,1.05,RA,PT,112.5,0.377,1.8900000000000001,01/01/1920,27117512,27708102,27335511,16070,3303401,0,T,0,,UB,POINT (-42.53818637729944 -22.30414564470567),-22.30414564470567,-42.53818637729944,1.994413407821229,2.2017877094972,115.64804469273743,126.03351955307262,133.55307262569832,134.35754189944134,119.91061452513966,135.34078212290504,121.40782122905028,133.99441340782124,137.2905027932961,133.59217877094972,138.9441340782123,133.41340782122904
